id,name,gender,birth_date,birth_country,wikipedia_link,prize_category,prize_motivation,prize_year,affiliation_country,min_prize_year,min_prize_date,age_at_prize,this_year,uniform,image_source
745,A. Michael Spence,male,1943-01-01,USA,https://en.wikipedia.org/wiki/Michael_Spence,Economic Sciences,for their analyses of markets with asymmetric information,2001,USA,2001,2001-12-10,58,FALSE,0,NA
102,Aage Niels Bohr,male,1922-06-19,Denmark,https://en.wikipedia.org/wiki/Aage_Bohr,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1975,Denmark,1975,1975-12-10,53,FALSE,0,NA
779,Aaron Ciechanover,male,1947-10-01,Israel,https://en.wikipedia.org/wiki/Aaron_Ciechanover,Chemistry,for the discovery of ubiquitin-mediated protein degradation,2004,Israel,2004,2004-12-10,57,FALSE,0,NA
259,Aaron Klug,male,1926-08-11,Lithuania,https://en.wikipedia.org/wiki/Aaron_Klug,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1982,United Kingdom,1982,1982-12-10,56,FALSE,0,NA
1004,Abdulrazak Gurnah,male,1948-01-01,NA,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah,Literature,for his uncompromising and compassionate penetration of the effects of colonialism and the  fate of the refugee in the gulf between cultures and continents,2021,,2021,2021-12-10,73,TRUE,0,NA
114,Abdus Salam,male,1926-01-29,Pakistan,https://en.wikipedia.org/wiki/Abdus_Salam,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1979,Italy|United Kingdom,1979,1979-12-10,53,FALSE,0,NA
982,Abhijit Banerjee,male,1961-02-21,India,https://en.wikipedia.org/wiki/Abhijit_Banerjee,Economic Sciences,for their experimental approach to alleviating global poverty,2019,USA,2019,2019-12-10,58,FALSE,0,NA
981,Abiy Ahmed Ali,male,1976-08-15,Ethiopia,https://en.wikipedia.org/wiki/Abiy_Ahmed,Peace,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",2019,,2019,2019-12-10,43,FALSE,0,NA
843,Ada E. Yonath,female,1939-06-22,Israel,https://en.wikipedia.org/wiki/Ada_Yonath,Chemistry,for studies of the structure and function of the ribosome,2009,Israel,2009,2009-12-10,70,FALSE,0,NA
866,Adam G. Riess,male,1969-12-16,USA,https://en.wikipedia.org/wiki/Adam_Riess,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,2011,USA,2011,2011-12-10,41,FALSE,0,NA
199,Adolf Friedrich Johann Butenandt,male,1903-03-24,Germany,https://en.wikipedia.org/wiki/Adolf_Butenandt,Chemistry,for his work on sex hormones,1939,Germany,1939,1939-12-10,36,FALSE,0,NA
164,Johann Friedrich Wilhelm Adolf von Baeyer,male,1835-10-31,Germany,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1905,Germany,1905,1905-12-10,70,FALSE,0,NA
185,Adolf Otto Reinhold Windaus,male,1876-12-25,Germany,https://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,1928,Germany,1928,1928-12-10,51,FALSE,0,NA
541,Adolfo Pérez Esquivel,male,1931-11-26,Argentina,https://en.wikipedia.org/wiki/Adolfo_Pérez_Esquivel,Peace,"for being a source of inspiration to repressed people, especially in Latin America",1980,Argentina,1980,1980-12-10,49,FALSE,0,NA
292,Ahmed H. Zewail,male,1946-02-26,Egypt,https://en.wikipedia.org/wiki/Ahmed_Zewail,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,1999,USA,1999,1999-12-10,53,FALSE,0,NA
853,Akira Suzuki,male,1930-09-12,Japan,https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),Chemistry,for palladium-catalyzed cross couplings in organic synthesis,2010,Japan,2010,2010-12-10,80,FALSE,0,NA
978,Akira Yoshino,male,1948-01-30,Japan,https://en.wikipedia.org/wiki/Akira_Yoshino,Chemistry,for the development of lithium-ion batteries,2019,Japan,2019,2019-12-10,71,FALSE,0,NA
819,Albert Arnold (Al) Gore Jr.,male,1948-03-31,USA,https://en.wikipedia.org/wiki/Al_Gore,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",2007,USA,2007,2007-12-10,59,FALSE,0,NA
729,Alan J. Heeger,male,1936-01-22,USA,https://en.wikipedia.org/wiki/Alan_J._Heeger,Chemistry,for the discovery and development of conductive polymers,2000,USA,2000,2000-12-10,64,FALSE,0,NA
376,Alan Lloyd Hodgkin,male,1914-02-05,United Kingdom,https://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,1963,United Kingdom,1963,1963-12-10,49,FALSE,0,NA
730,Alan G. MacDiarmid,male,1927-04-14,New Zealand,https://en.wikipedia.org/wiki/Alan_MacDiarmid,Chemistry,for the discovery and development of conductive polymers,2000,USA,2000,2000-12-10,73,FALSE,0,NA
11,Albert Abraham Michelson,male,1852-12-19,Poland,https://en.wikipedia.org/wiki/Albert_Abraham_Michelson,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1907,USA,1907,1907-12-10,54,FALSE,0,NA
628,Albert Camus,male,1913-11-07,Algeria,https://en.wikipedia.org/wiki/Albert_Camus,Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",1957,France,1957,1957-12-10,44,FALSE,0,NA
403,Albert Claude,male,1898-08-24,Belgium,https://en.wikipedia.org/wiki/Albert_Claude,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,1974,Belgium,1974,1974-12-10,76,FALSE,0,NA
26,Albert Einstein,male,1879-03-14,Germany,https://en.wikipedia.org/wiki/Albert_Einstein,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1921,Germany,1921,1921-12-10,42,FALSE,0,NA
814,Albert Fert,male,1938-03-07,France,https://en.wikipedia.org/wiki/Albert_Fert,Physics,for the discovery of Giant Magnetoresistance,2007,France,2007,2007-12-10,69,FALSE,0,NA
465,Charles Albert Gobat,male,1843-05-21,Switzerland,https://en.wikipedia.org/wiki/Charles_Albert_Gobat,Peace,for his eminently practical administration of the Inter-Parliamentary Union,1902,Switzerland,1902,1902-12-10,59,FALSE,0,NA
519,Albert John Luthuli,male,1898-01-01,Zimbabwe,https://en.wikipedia.org/wiki/Albert_Lutuli,Peace,for his non-violent struggle against apartheid,1960,South Africa,1960,1960-12-10,62,FALSE,0,NA
513,Albert Schweitzer,male,1875-01-14,France,https://en.wikipedia.org/wiki/Albert_Schweitzer,Peace,"for his altruism, reverence for life, and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one",1952,France,1952,1952-12-10,77,FALSE,0,NA
332,Albert von Szent-Györgyi Nagyrápolt,male,1893-09-16,Hungary,https://en.wikipedia.org/wiki/Albert_Szent-Györgyi,Physiology or Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",1937,Hungary,1937,1937-12-10,44,FALSE,0,NA
304,Albrecht Kossel,male,1853-09-16,Germany,https://en.wikipedia.org/wiki/Albrecht_Kossel,Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1910,Germany,1910,1910-12-10,57,FALSE,0,NA
83,Aleksandr Mikhailovich Prokhorov,male,1916-07-11,Australia,https://en.wikipedia.org/wiki/Alexander_Prokhorov,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",1964,Russia,1964,1964-12-10,48,FALSE,0,NA
644,Aleksandr Isayevich Solzhenitsyn,male,1918-12-11,Russia,https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,Literature,for the ethical force with which he has pursued the indispensable traditions of Russian literature,1970,Russia,1970,1970-12-10,51,FALSE,0,NA
766,Alexei Alexeyevich Abrikosov,male,1928-06-25,Russia,https://en.wikipedia.org/wiki/Alexei_Alexeyevich_Abrikosov,Physics,for pioneering contributions to the theory of superconductors and superfluids,2003,USA,2003,2003-12-10,75,FALSE,0,NA
306,Alexis Carrel,male,1873-06-28,France,https://en.wikipedia.org/wiki/Alexis_Carrel,Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1912,USA,1912,1912-12-10,39,FALSE,0,NA
544,Alfonso García Robles,male,1911-03-20,Mexico,https://en.wikipedia.org/wiki/Alfonso_García_Robles,Peace,for their work for disarmament and nuclear and weapon-free zones,1982,Switzerland,1982,1982-12-10,71,FALSE,0,NA
